author,tags,text
"
    Lemony Snicket,
  ,
      ",love,"
      “Everyone, at some point in their lives, wakes up in the middle of the night with the feeling that they are all alone in the world, and that nobody loves them now and that nobody will ever love them, and that they will never have a decent night's sleep again and will spend their lives wandering blearily around a loveless landscape, hoping desperately that their circumstances will improve, but suspecting, in their heart of hearts, that they will remain unloved forever. The best thing to do in these circumstances is to wake somebody else up, so that they can feel this way, too.”
  "
"
    Arthur Schopenhauer
  ","inspirational,talent","
      “Talent hits a target no one else can hit. Genius hits a target no one else can see.”
  "
"
    Maya Angelou
  ",inspiration,"
      “We delight in the beauty of the butterfly, but rarely admit the changes it has gone through to achieve that beauty.”
  "
"
    Winston Churchill
  ","attributed-no-source,convictions,criticism","
      “You have enemies? Good. That means you've stood up for something, sometime in your life.”
  "
"
    John Green,
  ,
      ","inertia,inspirational,leaving,nerdfighter","
      “It is so hard to leave—until you leave. And then it is the easiest goddamned thing in the world.”
  "
"
    John Green,
  ,
      ",books,"
      “Books so special and rare and yours that advertising your affection feels like a betrayal.”
  "
"
    Marilyn Monroe
  ",,"
      “She was a girl who knew how to be happy even when she was sad. And that’s important—you know ”
  "
"
    Frederick Douglass
  ",literacy,"
      “Once you learn to read, you will be forever free.”
  "
"
    Bertrand Russell
  ","books,humor","
      “There are two motives for reading a book; one, that you enjoy it; the other, that you can boast about it.”
  "
"
    Oscar Wilde,
  ,
      ","heartbreak,love","
      “Hearts are made to be broken.”
  "
"
    Kurt Vonnegut,
  ,
      ",writer-s-life,"
      “I want to stand as close to the edge as I can without going over. Out on the edge you see all kinds of things you can't see from the center.”
  "
"
    John Milton,
  ,
      ","inspirational,religion","
      “The mind is its own place, and in itself can make a heaven of hell, a hell of heaven..”
  "
"
    E.B. White,
  ,
      ",friendship,"
      “Why did you do all this for me?' he asked. 'I don't deserve it. I've never done anything for you.' 'You have been my friend,' replied Charlotte. 'That in itself is a tremendous thing.”
  "
"
    Cassandra Clare,
  ,
      ","humor,jace-wayland,simon-lewis","
      “Well, I’m not kissing the mundane,"" said Jace. ""I’d rather stay down here and rot."""
"
    Milan Kundera
  ",love,"
      “Two people in love, alone, isolated from the world, that's beautiful.”
  "
"
    Henry Ford
  ",thinking,"
      “Whether you think you can, or you think you can't--you're right.”
  "
"
    Lemony Snicket,
  ,
      ",death,"
      “It is a curious thing, the death of a loved one. We all know that our time in this world is limited, and that eventually all of us will end up underneath some sheet, never to wake up. And yet it is always a surprise when it happens to someone we know. It is like walking up the stairs to your bedroom in the dark, and thinking there is one more stair than there is. Your foot falls down, through the air, and there is a sickly moment of dark surprise as you try and readjust the way you thought of things.”
  "
"
    Anne Frank
  ","anne,beauty,frank,happy","
      “Think of all the beauty still left around you and be happy.”
  "
"
    Ellen DeGeneres,
  ,
      ",funny,"
      “Accept who you are. Unless you're a serial killer.”
  "
"
    Mark Twain
  ","classic-insult,funeral,funny,humor","
      “I did not attend his funeral, but I sent a nice letter saying I approved of it.”
  "
"
    George Orwell
  ",truth,"
      “In a time of deceit telling the truth is a revolutionary act.”
  "
"
    Henry Ward Beecherr
  ","books,humor","
      “Where is human nature so weak as in the bookstore?”
  "
"
    Carl Sagan
  ","astronomer,science,writer","
      “Somewhere, something incredible is waiting to be known.”
  "
"
    George Carlin,
  ,
      ","crazy,men,stupid,truth,women","
      “Here's all you have to know about men and women: women are crazy, men are stupid. And the main reason women are crazy is that men are stupid.”
  "
"
    Oscar Wilde
  ","belief,death,ideals,martyr,truth","
      “A thing is not necessarily true because a man dies for it.”
  "
"
    Cassandra Clare,
  ,
      ","brown,city-of-glass,clare,isabelle,jace","
      “I am a man"" he told her, ""and men do not consume pink beverages. Get thee gone woman, and bring me something brown.”
  "
"
    Abigail Van Buren
  ","character,life,wisdom","
      “The best index to a person's character is how he treats people who can't do him any good, and how he treats people who can't fight back.”
  "
"
    Thomas Jefferson
  ",books,"
      “I cannot live without books.”
  "
"
    Elizabeth Gilbert,
  ,
      ","disappointment,love,romance","
      “I have a history of making decisions very quickly about men. I have always fallen in love fast and without measuring risks. I have a tendency not only to see the best in everyone, but to assume that everyone is emotionally capable of reaching his highest potential. I have fallen in love more times than I care to count with the highest potential of a man, rather than with the man himself, and I have hung on to the relationship for a long time (sometimes far too long) waiting for the man to ascend to his own greatness. Many times in romance I have been a victim of my own optimism.”
  "
"
    Cassandra Clare,
  ,
      ","clary-fray,ego,jace-wayland","
      “Not everything is about you,"" Clary said furiously."
"
    oscar wilde
  ",attributed-no-source,"
      “You don't love someone for their looks, or their clothes, or for their fancy car, but because they sing a song only you can hear.”
  "
"
    John Green,
  ,
      ","funny,humor","
      “What the hell is that?"" I laughed."
"
    Oscar Wilde,
  ,
      ",experience-mistakes-wisdom,"
      “Experience is merely the name men gave to their mistakes.”
  "
"
    Sarah Dessen,
  ,
      ",love,"
      “No relationship is perfect, ever. There are always some ways you have to bend, to compromise, to give something up in order to gain something greater...The love we have for each other is bigger than these small differences. And that's the key. It's like a big pie chart, and the love in a relationship has to be the biggest piece. Love can make up for a lot.”
  "
"
    W.C. Fields
  ","humor,success","
      “If at first you don't succeed, try, try again. Then quit. No use being a damn fool about it.”
  "
"
    Friedrich Nietzsche
  ","humor,philosophy","
      “It is hard enough to remember my opinions, without also remembering my reasons for them!”
  "
"
    Paulo Coelho,
  ,
      ",inspirational,"
      “Waiting is painful. Forgetting is painful. But not knowing which to do is the worst kind of suffering.”
  "
"
    William Shakespeare,
  ,
      ","food,love,music","
      “This above all: to thine own self be true, "
"
    Lloyd Alexander
  ","fantasy,inspirational,writing","
      “Fantasy is hardly an escape from reality. It's a way of understanding it.”
  "
"
    Anonymous,
  ,
      ","1-corinthians-13,love","
      “Love is always patient and kind. It is never jealous. Love is never boastful or conceited. It is never rude or selfish. It does not take offense and is not resentful. Love takes no pleasure in other people’s sins, but delights in the truth. It is always ready to excuse, to trust, to hope, and to endure whatever comes.”
  "
"
    Mark Twain
  ","americans,geography,war","
      “God created war so that Americans would learn geography.”
  "
"
    Audrey Hepburn
  ","happiness,life","
      “The most important thing is to enjoy your life—to be happy—it's all that matters.”
  "
"
    C.S. Lewis
  ",books-reading,"
      “I can't imagine a man really enjoying a book and reading it only once.”
  "
"
    F. Scott Fitzgerald
  ",loneliness,"
      “The loneliest moment in someone’s life is when they are watching their whole world fall apart, and all they can do is stare blankly.”
  "
"
    Robert Frost
  ",,"
      “Never be bullied into silence. Never allow yourself to be made a victim. Accept no one’s definition of your life; define yourself.”
  "
"
    Suzanne Collins,
  ,
      ",,"
      “You know, you could live a thousand lifetimes and not deserve him.”
  "
"
    Sylvia Plath,
  ,
      ",writing,"
      “And by the way, everything in life is writable about if you have the outgoing guts to do it, and the imagination to improvise. The worst enemy to creativity is self-doubt.”
  "
"
    Stephanie Perkins,
  ,
      ","home,love,relationships,touching","
      “For the two of us, home isn't a place. It is a person. And we are finally home.”
  "
"
    Cassandra Clare,
  ,
      ","city-of-glass,jace,simon","
      “Is this the part where you say if I hurt her, you'll kill me?"""
"
    Aristotle
  ","friendship,soul","
      “What is a friend? A single soul dwelling in two bodies.”
  "
"
    Coco Chanel
  ","courage,dignity,empowerment,freedom,independence,individuality,judgment,self-determination,speaking-out,thought","
      “The most courageous act is still to think for yourself. Aloud.”
  "
"
    Mae West
  ","humor,temptation","
      “I generally avoid temptation unless I can't resist it.”
  "
"
    Lemony Snicket,
  ,
      ",life,"
      “People aren't either wicked or noble. They're like chef's salads, with good things and bad things chopped and mixed together in a vinaigrette of confusion and conflict.”
  "
"
    Ralph Waldo Emerson
  ","inspirational,life","
      “Do not go where the path may lead, go instead where there is no path and leave a trail.”
  "
"
    J.K. Rowling,
  ,
      ","anger,molly-weasley-anger","
      “Not my daughter, you bitch!”
  "
"
    William Shakespear,
  ,
      ",philosophy,"
      “There is nothing either good or bad, but thinking makes it so.”
  "
"
    Fran Lebowitz,
  ,
      ","advice-for-daily-living,books,reader,reading,speaking,thinking,wisdom","
      “Think before you speak. Read before you think.”
  "
"
    Leo Tolstoy  ,
  ,
      ","family,first-sentence","
      “All happy families are alike; each unhappy family is unhappy in its own way.”
  "
"
    Maya Angelou,
  ,
      ","be-yourself,inspirational,misquote,self-determination","
      “I can be changed by what happens to me. But I refuse to be reduced by it."
"
    Sarah   Williams
  ","night,poetry","
      “I have loved the stars too fondly to be fearful of the night.”
  "
"
    J.R.R. Tolkien,
  ,
      ","hope,inspirational,love","
      “The world is indeed full of peril, and in it there are many dark places; but still there is much that is fair, and though in all lands love is now mingled with grief, it grows perhaps the greater.”
  "
"
    John Green,
  ,
      ",,"
      “I'm not saying that everything is survivable. Just that everything except the last thing is.”
  "
"
    Charles Bukowski 
  ",,"
      “what matters most is how well you walk through the fire”
  "
"
    Marilyn Monroe
  ","beauty,girls","
      “All little girls should be told they are pretty, even if they aren't.”
  "
"
    Nicholas Sparks,
  ,
      ","dear-john,love,nicholas-sparks,romance,the-notebook","
      “They didn’t agree on much. In fact, they didn’t agree on anything. They fought all the time and challenged each other ever day. But despite their differences, they had one important thing in common. They were crazy about each other.”
  "
"
    Marilyn Monroe
  ","dirty,funny,logo,sex","
      “It's not true that I had nothing on. I had the radio on.”
  "
"
    Jane Austen,
  ,
      ","husband,marriage,opening-lines,wife","
      “It is a truth universally acknowledged, that a single man in possession of a good fortune, must be in want of a wife.”
  "
"
    Nicholas Sparks,
  ,
      ",,"
      “Nothing that’s worthwhile is ever easy. Remember that.”
  "
"
    Nicholas Sparks,
  ,
      ",,"
      “When you're struggling with something, look at all the people around you and realize that every single person you see is struggling with something, and to them, it's just as hard as what you're going through.”
  "
"
    Neil Gaiman,
  ,
      ",love,"
      “Have you ever been in love? Horrible isn't it? It makes you so vulnerable. It opens your chest and it opens up your heart and it means that someone can get inside you and mess you up. You build up all these defenses, you build up a whole suit of armor, so that nothing can hurt you, then one stupid person, no different from any other stupid person, wanders into your stupid life...You give them a piece of you. They didn't ask for it. They did something dumb one day, like kiss you or smile at you, and then your life isn't your own anymore. Love takes hostages. It gets inside you. It eats you out and leaves you crying in the darkness, so simple a phrase like 'maybe we should be just friends' turns into a glass splinter working its way into your heart. It hurts. Not just in the imagination. Not just in the mind. It's a soul-hurt, a real gets-inside-you-and-rips-you-apart pain. I hate love.”
  "
"
    Cassandra Clare,
  ,
      ",mortal-instruments,"
      “You said you were going for a walk!? What kind of walk takes six hours?"""
"
    Alan Moore
  ",life,"
      “My experience of life is that it is not divided up into genres; it’s a horrifying, romantic, tragic, comical, science-fiction cowboy detective novel. You know, with a bit of pornography if you're lucky.”
  "
"
    Charles Bukowski
  ",,"
      “We're all going to die, all of us, what a circus! That alone should make us love each other but it doesn't. We are terrorized and flattened by trivialities, we are eaten up by nothing.”
  "
"
    Cassandra Clare,
  ,
      ","clary-fray,jace-wayland,love","
      “You could have had anything else in the world, and you asked for me."""
"
    Roald Dahl,
  ,
      ","books,humor,television","
      “So please, oh please, we beg, we pray,"
"
    James Baldwin
  ","books,empathy,pain,reading","
      “You think your pain and your heartbreak are unprecedented in the history of the world, but then you read. It was books that taught me that the things that tormented me most were the very things that connected me with all the people who were alive, who had ever been alive.”
  "
"
    Charles Bukowski,
  ,
      ","fire,flame,isolation,laughter,loss,sacrifice","
      “If you're going to try, go all the way. Otherwise, don't even start. This could mean losing girlfriends, wives, relatives and maybe even your mind. It could mean not eating for three or four days. It could mean freezing on a park bench. It could mean jail. It could mean derision. It could mean mockery--isolation. Isolation is the gift. All the others are a test of your endurance, of how much you really want to do it. And, you'll do it, despite rejection and the worst odds. And it will be better than anything else you can imagine. If you're going to try, go all the way. There is no other feeling like that. You will be alone with the gods, and the nights will flame with fire. You will ride life straight to perfect laughter. It's the only good fight there is.”
  "
"
    Rumi
  ","brokenness,healing,scars,suffering","
      “The wound is the place where the Light enters you.”
  "
"
    Jon Katz
  ","faith,friends,friendship,love","
      “I think if I've learned anything about friendship, it's to hang in, stay connected, fight for them, and let them fight for you. Don't walk away, don't be distracted, don't be too busy or tired, don't take them for granted. Friends are part of the glue that holds life and faith together. Powerful stuff.”
  "
"
    Maya Angelou
  ","character,consistency,courage,determination,essence,ethos,fortitude,goodness,inspiration,life-lessons,persistence,resolve,self-reliance,strength,virtue,virtues","
      “Courage is the most important of all the virtues because without courage, you can't practice any other virtue consistently.”
  "
"
    Saul Bellow
  ","imagination,inspiration,writing","
      “You never have to change anything you got up in the middle of the night to write.”
  "
"
    Charles M. Schulz
  ","animals,dogs,happiness,humor,puppies","
      “Happiness is a warm puppy.”
  "
"
    Pablo Neruda,
  ,
      ",love,"
      “Love is so short, forgetting is so long.”
  "
"
    Stephen King
  ",books,"
      “Good books don't give up all their secrets at once.”
  "
"
    Benjamin Franklin
  ",hmmm,"
      “Either write something worth reading or do something worth writing.”
  "
"
    Isaac Asimov,
  ,
      ","humor,inspirational,philosophy,wisdom","
      “Never let your sense of morals prevent you from doing what is right.”
  "
"
    William Shakespeare
  ",destiny,"
      “It is not in the stars to hold our destiny but in ourselves.”
  "
"
    Victor Hugo,
  ,
      ",,"
      “He never went out without a book under his arm, and he often came back with two.”
  "
"
    J. D. Salinger
  ","salinger,stories","
      “Don't ever tell anybody anything. If you do, you start missing everybody.”
  "
"
    George R.R. Martin,
  ,
      ","bravery,courage,fear","
      “Bran thought about it. 'Can a man still be brave if he's afraid?'"
"
    Khaled Hosseini,
  ,
      ",the-kite-runner,"
      “For you, a thousand times over”
  "
"
    Albert Einstein
  ","compassion,einstein,nature,philosophy","
      “A human being is a part of the whole called by us universe, a part limited in time and space. He experiences himself, his thoughts and feeling as something separated from the rest, a kind of optical delusion of his consciousness. This delusion is a kind of prison for us, restricting us to our personal desires and to affection for a few persons nearest to us. Our task must be to free ourselves from this prison by widening our circle of compassion to embrace all living creatures and the whole of nature in its beauty.”
  "
"
    Martin Luther King Jr.
  ",inspirational,"
      “If you can't fly then run, if you can't run then walk, if you can't walk then crawl, but whatever you do you have to keep moving forward.”
  "
"
    William Faulkner
  ","reading,writing","
      “Read, read, read. Read everything -- trash, classics, good and bad, and see how they do it. Just like a carpenter who works as an apprentice and studies the master. Read! You'll absorb it."
"
    John Green,
  ,
      ","broccoli,chocolate,joy,pleasures,suffering","
      “Without pain, how could we know joy?' This is an old argument in the field of thinking about suffering and its stupidity and lack of sophistication could be plumbed for centuries but suffice it to say that the existence of broccoli does not, in any way, affect the taste of chocolate.”
  "
"
    William Shakespeare,
  ,
      ",inspirational,"
      “Hell is empty and all the devils are here.”
  "
"
    Alice Hoffman
  ",books,"
      “Books may well be the only true magic.”
  "
"
    Oscar Wilde
  ","power,sex","
      “Everything in the world is about sex except sex. Sex is about power.”
  "
"
    Jane Austen,
  ,
      ","elizabeth-bennet,jane-austen","
      “There are few people whom I really love, and still fewer of whom I think well. The more I see of the world, the more am I dissatisfied with it; and every day confirms my belief of the inconsistency of all human characters, and of the little dependence that can be placed on the appearance of merit or sense.”
  "
"
    maya angelou
  ","humor,inspirational,life","
      “I love to see a young girl go out and grab the world by the lapels. Life's a bitch. You've got to go out and kick ass.”
  "
"
    Mark Twain
  ","humor,knowledge","
      “I was gratified to be able to answer promptly, and I did. I said I didn’t know.”
  "
"
    Stephen Chbosky,
  ,
      ",poem,"
      “Once on a yellow piece of paper with green lines"
"
    Albert Einstein
  ","adulthood,success,value","
      “Try not to become a man of success. Rather become a man of value.”
  "
"
    Theodore Roosevelt
  ","inspirational,politics,presidential","
      “It is not the critic who counts; not the man who points out how the strong man stumbles, or where the doer of deeds could have done them better. The credit belongs to the man who is actually in the arena, whose face is marred by dust and sweat and blood; who strives valiantly; who errs, who comes short again and again, because there is no effort without error and shortcoming; but who does actually strive to do the deeds; who knows great enthusiasms, the great devotions; who spends himself in a worthy cause; who at the best knows in the end the triumph of high achievement, and who at the worst, if he fails, at least fails while daring greatly, so that his place shall never be with those cold and timid souls who neither know victory nor defeat.”
  "
"
    Mark Twain
  ",heartbreak,"
      “Never allow someone to be your priority while allowing yourself to be their option.”
  "
"
    Marie Lu,
  ,
      ",,"
      “Each day means a new twenty-four hours. Each day means everything's possible again. You live in the moment, you die in the moment, you take it all one day at a time.”
  "
"
    Oscar Wilde,
  ,
      ","love,romance","
      “The very essence of romance is uncertainty.”
  "
"
    Woody Allen
  ","humor,life,sex","
      “I don't know the question, but sex is definitely the answer.”
  "
"
    Robert Frost
  ","reading,writing","
      “No tears in the writer, no tears in the reader. No surprise in the writer, no surprise in the reader.”
  "
"
    Oprah Winfrey
  ","experience,inspirational,pain,wisdom,wounds","
      “Turn your wounds into wisdom.”
  "
"
    Eleanor Roosevelt,
  ,
      ",confidence,"
      “You gain strength, courage and confidence by every experience in which you really stop to look fear in the face. You are able to say to yourself, 'I have lived through this horror. I can take the next thing that comes along.' You must do the thing you think you cannot do.”
  "
"
    Neil Gaiman
  ",,"
      “Life is a disease: sexually transmitted, and invariably fatal.”
  "
"
    Jonathan Safran Foer
  ","happiness,sadness","
      “You cannot protect yourself from sadness without protecting yourself from happiness.”
  "
"
    Jane Smiley,
  ,
      ","books,reading","
      “Many people, myself among them, feel better at the mere sight of a book.”
  "
"
    Oscar Wilde
  ",truth,"
      “Man is least himself when he talks in his own person. Give him a mask, and he will tell you the truth.”
  "
"
    Arthur Conan Doyle,
  ,
      ",inspirational,"
      “When you have eliminated all which is impossible, then whatever remains, however improbable, must be the truth.”
  "
"
    Socrates
  ","inspiration,truth,wisdom","
      “The unexamined life is not worth living.”
  "
"
    Friedrich Nietzsche
  ","love,madness","
      “There is always some madness in love. But there is also always some reason in madness.”
  "
"
    Friedrich Nietzsche
  ","corruption,dark-side,fighting,monsters,soul","
      “Whoever fights monsters should see to it that in the process he does not become a monster. And if you gaze long enough into an abyss, the abyss will gaze back into you.”
  "
"
    Dr. Seuss
  ","fantasy,humor","
      “Fantasy is a necessary ingredient in living, it's a way of looking at life through the wrong end of a telescope.”
  "
"
    Sarah Dessen,
  ,
      ","just-litsen,sarah-dessen,time","
      “There comes a time when the world gets quiet and the only thing left is your own heart. So you'd better learn the sound of it. Otherwise you'll never understand what it's saying.”
  "
"
    Nora Ephron
  ","courage,empowerment,self-determination,women","
      “Above all, be the heroine of your life, not the victim.”
  "
"
    Tahereh Mafi,
  ,
      ","books,power-of-words,reading","
      “I spent my life folded between the pages of books."
"
    Daphne du Maurier 
  ",,"
      “But luxury has never appealed to me, I like simple things, books, being alone, or with somebody who understands.”
  "
"
    Katie McGarry,
  ,
      ",trouble,"
      “I don't go looking for trouble. Trouble usually finds me.”
  "
"
    Dr. Seuss
  ",seuss,"
      “Why fit in when you were born to stand out?”
  "
"
    Winston S. Churchill
  ",truth,"
      “Men occasionally stumble over the truth, but most of them pick themselves up and hurry off as if nothing had happened.”
  "
"
    Emily Jane Brontë ,
  ,
      ","loss,love","
      “If all else perished, and he remained, I should still continue to be; and if all else remained, and he were annihilated, the universe would turn to a mighty stranger.”
  "
"
    John Steinbeck,
  ,
      ",,"
      “I wonder how many people I've looked at all my life and never seen.”
  "
"
    Jamie McGuire,
  ,
      ","best-friends,heartbreak,love","
      “To douchebags!"" he said, gesturing to Brad. ""And to girls that break your heart,"" he bowed his head to me. His eyes lost focus. ""And to the absolute fucking horror of losing your best friend because you were stupid enough to fall in love with her.”
  "
"
    Lemony Snicket,
  ,
      ",funny,"
      “Everyone should be able to do one card trick, tell two jokes, and recite three poems, in case they are ever trapped in an elevator.”
  "
"
    Daniel Pennac
  ","books,reading,rights","
      “Reader's Bill of Rights"
"
    Cassandra Clare,
  ,
      ","jem-carstairs,will-herondale","
      “Remember when you tried to convince me to feed a poultry pie to the mallards in the park to see if you could breed a race of cannibal ducks?"" "
"
    Suzanne Collins,
  ,
      ","hunger-games,katniss,peeta","
      “You're still trying to protect me. Real or not real,"" he whispers."
"
    Daphne Rae,
  ,
      ",misattributed-to-mother-teresa,"
      “I have found the paradox, that if you love until it hurts, there can be no more hurt, only more love.”
  "
"
    Joseph Brodsky
  ","books,censorship,illiteracy,reading","
      “There are worse crimes than burning books. One of them is not reading them.”
  "
"
    Ned Vizzini,
  ,
      ","depression,sadness,suicide","
      “I didn't want to wake up. I was having a much better time asleep. And that's really sad. It was almost like a reverse nightmare, like when you wake up from a nightmare you're so relieved. I woke up into a nightmare.”
  "
"
    David Sedaris,
  ,
      ",sympathy,"
      “If you're looking for sympathy you'll find it between shit and syphilis in the dictionary.”
  "
"
    John Green,
  ,
      ","awesomeness,funny","
      “They love their hair because they're not smart enough to love something more interesting.”
  "
"
    Albert Einstein
  ","1955,curiosity,mystery,physics,science","
      “The important thing is not to stop questioning. Curiosity has its own reason for existence. One cannot help but be in awe when he contemplates the mysteries of eternity, of life, of the marvelous structure of reality. It is enough if one tries merely to comprehend a little of this mystery each day."
"
    Cassandra Clare,
  ,
      ","dictionary,fun,humor,isabelle-lightwood,jace-wayland","
      “That does it,"" said Jace. ""I'm going to get you a dictionary for Christmas this year."""
"
    Arthur C. Clarke
  ","distance,life,loneliness,qotd,sense-of-wonder,universe","
      “Two possibilities exist: either we are alone in the Universe or we are not. Both are equally terrifying.”
  "
"
    Plato
  ","intellect,philosophy","
      “Wise men speak because they have something to say; fools because they have to say something.”
  "
"
    Sylvia Plath,
  ,
      ","importance,kiss,kissing","
      “Kiss me, and you will see how important I am.”
  "
"
    Sylvia Plath,
  ,
      ",life-choices-fig-trees,"
      “I saw my life branching out before me like the green fig tree in the story. From the tip of every branch, like a fat purple fig, a wonderful future beckoned and winked. One fig was a husband and a happy home and children, and another fig was a famous poet and another fig was a brilliant professor, and another fig was Ee Gee, the amazing editor, and another fig was Europe and Africa and South America, and another fig was Constantin and Socrates and Attila and a pack of other lovers with queer names and offbeat professions, and another fig was an Olympic lady crew champion, and beyond and above these figs were many more figs I couldn't quite make out. I saw myself sitting in the crotch of this fig tree, starving to death, just because I couldn't make up my mind which of the figs I would choose. I wanted each and every one of them, but choosing one meant losing all the rest, and, as I sat there, unable to decide, the figs began to wrinkle and go black, and, one by one, they plopped to the ground at my feet.”
  "
"
    Albert Camus
  ","humanity,life,mankind,mortality","
      “Nobody realizes that some people expend tremendous energy merely to be normal.”
  "
"
    Gabriel Garcia Marquez
  ",life-memories,"
      “What matters in life is not what happens to you but what you remember and how you remember it.”
  "
"
    Pamela Redmond Satran
  ",,"
      “A WOMAN SHOULD HAVE ...."
"
    Haruki Marukami
  ",expectation,"
      “Whatever it is you're seeking won't come in the form you're expecting.”
  "
"
    J.R.R. Tolkien,
  ,
      ","compassion,justice,mercy","
      “Deserves it! I daresay he does. Many that live deserve death. And some that die deserve life. Can you give it to them? Then do not be too eager to deal out death in judgement. For even the very wise cannot see all ends.”
  "
"
    Jhumpa Lahiri,
  ,
      ",books,"
      “That's the thing about books. They let you travel without moving your feet.”
  "
"
    Walt Disney
  ",,"
      “Laughter is timeless. Imagination has no age. And dreams are forever.”
  "
"
    Stephen Chbosky,
  ,
      ",moi,"
      “I am very interested and fascinated how everyone loves each other, but no one really likes each other.”
  "
"
    George Carlin
  ","atheism,humor,life,religion","
      “Religion has actually convinced people that there's an invisible man living in the sky who watches everything you do, every minute of every day. And the invisible man has a special list of ten things he does not want you to do. And if you do any of these ten things, he has a special place, full of fire and smoke and burning and torture and anguish, where he will send you to live and suffer and burn and choke and scream and cry forever and ever 'til the end of time!"
"
    Marilyn Monroe
  ","attributed-no-source,girl,makeup,world","
      “Beneath the makeup and behind the smile I am just a girl who wishes for the world.”
  "
"
    Niccolò Machiavelli,
  ,
      ",,"
      “Everyone sees what you appear to be, few experience what you really are.”
  "
"
    John Lennon
  ","beatles,men,women","
      “As usual, there is a great woman behind every idiot.”
  "
"
    Fyodor Dostoevsky,
  ,
      ",,"
      “Pain and suffering are always inevitable for a large intelligence and a deep heart. The really great men must, I think, have great sadness on earth.”
  "
"
    Carlos Ruiz Zafón,
  ,
      ","books,reading,truth","
      “Books are mirrors: you only see in them what you already have inside you.”
  "
"
    Douglas Coupland,
  ,
      ","irony,life,loneliness","
      “Remember: the time you feel lonely is the time you most need to be by yourself. Life's cruelest irony.”
  "
"
    Oscar Wilde,
  ,
      ","books,morality,reading,writing","
      “Those who find ugly meanings in beautiful things are corrupt without being charming. This is a fault. Those who find beautiful meanings in beautiful things are the cultivated. For these there is hope. They are the elect to whom beautiful things mean only Beauty. There is no such thing as a moral or an immoral book. Books are well written, or badly written. That is all.”
  "
"
    Dr. Seuss
  ",crazy,"
      “Being crazy isn't enough.”
  "
"
    John Green,
  ,
      ","amsterdam,freedom,sin","
      “Some tourists think Amsterdam is a city of sin, but in truth it is a city of freedom. And in freedom, most people find sin.”
  "
"
    Edgar Allan Poe,
  ,
      ","faith,fool,humor,self-confidence,self-irony","
      “I have great faith in fools - self-confidence my friends will call it.”
  "
"
    J.K. Rowling,
  ,
      ",humor,"
      “Percy wouldn't notice a joke if it danced naked in front of him wearing one of Dobby's hats.”
  "
"
    Ray Bradbury,
  ,
      ",writing,"
      “You must stay drunk on writing so reality cannot destroy you.”
  "
"
    Terry Pratchett,
  ,
      ","death,humor,life","
      “It is said that your life flashes before your eyes just before you die. That is true, it's called Life.”
  "
"
    Haruki Murakami,
  ,
      ","inspirational,love","
      “If you remember me, then I don't care if everyone else forgets.”
  "
"
    Jim Morrison
  ","jim,life,morrison,pain,reality","
      “People are afraid of themselves, of their own reality; their feelings most of all. People talk about how great love is, but that’s bullshit. Love hurts. Feelings are disturbing. People are taught that pain is evil and dangerous. How can they deal with love if they’re afraid to feel? Pain is meant to wake us up. People try to hide their pain. But they’re wrong. Pain is something to carry, like a radio. You feel your strength in the experience of pain. It’s all in how you carry it. That’s what matters. Pain is a feeling. Your feelings are a part of you. Your own reality. If you feel ashamed of them, and hide them, you’re letting society destroy your reality. You should stand up for your right to feel your pain.”
  "
"
    Khaled Hosseini,
  ,
      ","fair,life","
      “It may be unfair, but what happens in a few days, sometimes even a single day, can change the course of a whole lifetime...”
  "
